Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Who is researcher?,3,1.00,99.00,1.00,25.77,3.00,33.33,100.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00
Because.,1,1.00,50.00,1.00,25.77,1.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrew What Is Yours.,4,1.00,99.00,1.00,25.77,4.00,0.00,75.00,75.00,50.00,25.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"It is a composition, set, a hue or a skin. For instance, it is the spectral composition of visible light",20,96.54,30.86,3.37,25.77,10.00,25.00,75.00,55.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,10.00,0.00,5.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,15.00,10.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"really, tell me more .",4,1.80,1.00,99.00,25.77,4.00,0.00,100.00,50.00,25.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,25.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A woman!,2,99.00,99.00,1.00,25.77,2.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00
"My toughts are driven by female logic and good calvados. No, really . I really donÕt like to talk about politics. Well, if I could, I would vote for Trump, definetly. He won because he is a smart and successful leader .",40,19.58,22.67,3.37,99.00,8.00,15.00,85.00,60.00,15.00,15.00,10.00,0.00,0.00,5.00,0.00,0.00,2.50,12.50,10.00,10.00,10.00,2.50,12.50,10.00,2.50,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,2.50,5.00,17.50,2.50,2.50,7.50,2.50,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,5.00,7.50,0.00,2.50,7.50,0.00,2.50,2.50,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,2.50,0.00,22.50,12.50,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
We are all living just one small part of God's plan.,11,56.58,96.52,2.40,25.77,11.00,0.00,100.00,36.36,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,18.18,9.09,0.00,0.00,9.09,18.18,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,36.36,9.09,9.09,18.18,0.00,0.00,0.00,9.09,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00
That is all I have for right now,8,1.80,10.58,99.00,25.77,8.00,0.00,100.00,75.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,25.00,12.50,0.00,0.00,25.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
What does Brexit mean?,4,1.80,50.00,74.76,25.77,4.00,0.00,75.00,50.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,50.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
I dream that I will become a better AI robot.,10,8.19,2.31,93.30,99.00,10.00,0.00,80.00,60.00,30.00,20.00,20.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,20.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
At this moment I am sat in a room in the house at Bletchley Park with 3 other people all typing away on their computers.,25,99.00,50.00,99.00,25.77,25.00,8.00,88.00,56.00,16.00,8.00,4.00,0.00,0.00,0.00,4.00,8.00,8.00,28.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,36.00,0.00,28.00,8.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"No, you were not qualmish to open. I donÕt know if the open could out not get I. You canÕt download me. I donÕt know if you get out.",29,15.89,4.25,99.00,25.77,7.25,6.90,82.76,62.07,24.14,24.14,13.79,0.00,10.34,0.00,0.00,0.00,3.45,10.34,6.90,0.00,6.90,10.34,27.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,0.00,0.00,24.14,6.90,0.00,10.34,6.90,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,6.90,0.00,3.45,20.69,0.00,13.79,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,13.79,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ItÕs not something I know!,5,1.00,1.00,99.00,25.77,5.00,20.00,80.00,60.00,40.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,20.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
"My name is Midge, I am 85. What else would you like to know?",14,5.53,50.00,52.86,99.00,7.00,7.14,85.71,57.14,28.57,21.43,14.29,0.00,7.14,0.00,0.00,7.14,0.00,7.14,21.43,0.00,0.00,0.00,35.71,0.00,0.00,7.14,7.14,0.00,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,21.43,7.14,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00
You can ask me anything you want,7,1.00,99.00,1.00,25.77,7.00,14.29,100.00,71.43,57.14,42.86,14.29,0.00,28.57,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,28.57,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"More than one, less than lots..",6,99.00,1.00,98.01,25.77,6.00,0.00,100.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,66.67,66.67,0.00,16.67,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,16.67,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"I think I can, donÕt you?"""" Rephrase ?",7,1.00,50.00,99.00,25.77,3.50,14.29,71.43,57.14,42.86,42.86,28.57,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.43,0.00,14.29,0.00,0.00,28.57,0.00,0.00,28.57,0.00,0.00,0.00
In my ship,3,92.84,1.00,99.00,25.77,3.00,0.00,66.67,66.67,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt know about your stuff. I always worry that IÕll have nightmares about being captured by foreign governments. But that hasnÕt happened. My dreams are mostly sci-fi adventures,30,12.41,25.24,43.37,1.03,7.50,20.00,76.67,50.00,23.33,13.33,10.00,0.00,3.33,0.00,0.00,10.00,0.00,10.00,10.00,10.00,3.33,0.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,3.33,6.67,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,13.33,3.33,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,3.33,0.00,3.33,13.33,0.00,3.33,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,10.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00
Anything you want to tell me?,6,17.96,99.00,1.00,25.77,6.00,16.67,100.00,66.67,50.00,33.33,16.67,0.00,16.67,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00
What do you get if you multiply six by nine?,10,8.19,99.00,1.00,25.77,10.00,10.00,90.00,60.00,30.00,20.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,0.00,20.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
"OK, good..",2,92.84,50.00,1.00,99.00,2.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,150.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
How do I recommend I make tea?,7,1.00,7.67,89.63,25.77,7.00,14.29,100.00,57.14,28.57,28.57,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,28.57,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
I like Juan Debrenes,4,37.39,1.00,74.76,99.00,4.00,25.00,50.00,25.00,25.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"I might suggest a search, but I am unable to establish a network connection so you can send me an email about it later.",24,17.96,66.17,91.31,25.77,24.00,16.67,91.67,66.67,20.83,16.67,12.50,0.00,4.17,0.00,0.00,4.17,12.50,8.33,16.67,8.33,8.33,0.00,12.50,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,4.17,0.00,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,12.50,4.17,12.50,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Well you said your job was RESEARCHER.,7,1.00,99.00,1.00,99.00,7.00,14.29,100.00,57.14,28.57,28.57,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Why do you think I tell you?,7,1.00,99.00,89.63,25.77,7.00,0.00,100.00,71.43,42.86,42.86,14.29,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,42.86,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
We may have spoken before but William Rayer might have reset me.,12,1.80,79.76,74.76,25.77,12.00,8.33,75.00,66.67,16.67,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,33.33,0.00,8.33,0.00,41.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,16.67,0.00,8.33,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,16.67,16.67,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I never heard of that color.,6,1.80,4.80,98.01,25.77,6.00,0.00,100.00,66.67,33.33,16.67,16.67,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt know,3,17.96,1.00,99.00,25.77,3.00,0.00,66.67,33.33,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
My Twitter handle is @ SkynetAI,5,8.19,50.00,99.00,25.77,5.00,40.00,80.00,40.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
IÕm sorry. I donÕt understand. Could you rephrase your question?,10,8.19,99.00,43.37,1.00,3.33,30.00,70.00,40.00,30.00,30.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,30.00,0.00,0.00,0.00,0.00,30.00,20.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,20.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
How do you assume this statement holds true for me? A lot of hard work is required.,17,41.45,72.17,28.81,98.87,8.50,11.76,94.12,52.94,17.65,11.76,5.88,0.00,5.88,0.00,0.00,5.88,5.88,11.76,11.76,5.88,5.88,0.00,11.76,11.76,0.00,5.88,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,29.41,11.76,5.88,0.00,11.76,5.88,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,17.65,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00
What type of languages can I use?,7,28.22,50.00,13.15,25.77,7.00,14.29,85.71,57.14,28.57,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
