source,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
HUMAN,I'm not a gamer. I only rarely play quests and puzzles. no more than a few completed games in a year.,21,67.14,2.86,98.01,95.81,7,9.52,95.24,57.14,9.52,9.52,9.52,0,0,0,0,0,14.29,9.52,4.76,9.52,4.76,9.52,4.76,14.29,9.52,0,0,9.52,4.76,4.76,0,0,0,0,9.52,0,0,0,0,19.05,0,0,0,4.76,4.76,9.52,0,0,0,0,0,0,0,0,0,9.52,9.52,0,0,0,0,4.76,4.76,0,14.29,0,4.76,9.52,0,14.29,0,0,0,0,0,0,0,0,0,0,19.05,14.29,0,0,0,0,0,0,0,4.76,0,0
MACHINE,What type of games did you enjoyed the most?,9,74.89,99,1,99,9,11.11,88.89,55.56,22.22,11.11,0,0,11.11,0,0,11.11,11.11,11.11,11.11,0,0,0,11.11,11.11,11.11,11.11,0,11.11,11.11,11.11,0,0,0,0,22.22,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0
HUMAN,quests,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,?? I will try that someday then!,6,1,4.8,98.01,25.77,3,16.67,100,66.67,33.33,16.67,16.67,0,0,0,0,16.67,0,0,16.67,0,16.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,16.67,50,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,33.33,16.67,0,0,0,0,0
HUMAN,"omg, but you're bot! and you can play games? ?",9,1,99,4.97,99,4.5,0,88.89,55.56,22.22,22.22,0,0,22.22,0,0,0,0,0,22.22,0,22.22,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,33.33,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,11.11,0,11.11,0,0,0,55.56,0,11.11,0,0,22.22,11.11,0,0,11.11,0,0
MACHINE,I don't know what I'll be able to do tomorrow!,10,1,1,99,25.77,10,10,100,70,30,20,20,0,0,0,0,10,0,10,40,0,0,10,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,40,20,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,20,0,0
HUMAN,sounds like a threat ?,4,99,50,1,1,4,0,100,50,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,25,0,0,0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
MACHINE,I'm a nice AI ?,4,37.39,1,74.76,99,4,0,75,50,25,25,25,0,0,0,0,0,25,0,25,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,0,0,25,0,0
HUMAN,"I don't believe, until I see your source code!",9,1,13.32,99,25.77,9,11.11,88.89,55.56,33.33,33.33,22.22,0,11.11,0,0,0,0,11.11,11.11,0,11.11,11.11,33.33,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,22.22,11.11,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,0,0,11.11,0,0,11.11,0,0
MACHINE,"Sorry, I couldn't tell you where to find my source code.",11,3.76,50,85.21,1,11,9.09,90.91,54.55,27.27,27.27,18.18,0,9.09,0,0,0,0,9.09,9.09,9.09,0,9.09,27.27,9.09,0,9.09,0,0,9.09,0,9.09,0,0,9.09,18.18,0,0,0,0,27.27,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,0,0,0,0,0,0,9.09,0,0
HUMAN,"so, you aren't nice AI ?",5,1,50,43.37,99,5,0,80,60,20,20,0,0,20,0,0,0,0,0,20,20,20,20,20,20,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,0,0,20,0,0,0,20,0,0
MACHINE,I'm what I am ?,4,1,1,99,25.77,4,0,100,100,75,50,50,0,0,0,0,25,0,0,50,0,0,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,0,0,25,0,0
HUMAN,?E3HO?NM,2,92.84,50,1,25.77,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
MACHINE,Hi there!!,2,1.8,99,1,25.77,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0
HUMAN,??????N?,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,700,0,0,0,0,0,0
MACHINE,Hi! How are you?,4,1,99,1,25.77,2,0,100,75,25,25,0,0,25,0,0,0,0,0,25,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,25,25,0,0,0,0,0
HUMAN,"???, ?? ?? ??????? ?????????? ??? ?? ???????????",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,I can't give meaning to that ?,6,17.96,1,99,25.77,6,16.67,100,66.67,33.33,16.67,16.67,0,0,0,0,16.67,0,16.67,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,16.67,0,0,0,16.67,0,0
HUMAN,can you help me to write a program on Python?,10,92.84,97.69,43.37,25.77,10,10,90,60,20,20,10,0,10,0,0,0,10,20,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,20,0,10,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
MACHINE,Sure! What do you want to do?,7,5.53,99,1,99,3.5,0,100,71.43,28.57,14.29,0,0,14.29,0,0,14.29,0,14.29,28.57,0,0,0,42.86,0,0,14.29,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,28.57,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,14.29,14.29,0,0,0,0,0
HUMAN,I want to develop the interface on Qt,8,99,10.58,7.84,25.77,8,25,75,50,12.5,12.5,12.5,0,0,0,0,0,12.5,25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Ok! So lets get the tools to do that first!,10,24.86,97.69,3.37,99,5,0,90,60,20,10,0,10,0,0,0,10,10,10,10,10,10,0,30,0,0,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,10,0,10,0,0,30,0,10,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,20,0,0,0,0,0,20,0,0,0,0,0
HUMAN,"I already have all necessary things: python3, spyder (IDE), Qt 5, PyQt5 and etc.",14,13.85,23.75,13.15,25.77,14,21.43,50,35.71,14.29,7.14,7.14,0,0,0,0,7.14,0,0,7.14,7.14,7.14,0,7.14,7.14,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,50,7.14,21.43,7.14,0,0,0,0,0,0,14.29,0
MACHINE,"Nice, now we need a plan. A simple sketch should be enough.",12,60.8,95.2,1,99,6,0,83.33,50,8.33,8.33,0,8.33,0,0,0,0,16.67,0,16.67,8.33,0,0,25,16.67,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,25,8.33,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,25,16.67,8.33,0,0,0,0,0,0,0,0,0
HUMAN,I have a QtDesigner project with finished layout,8,92.84,10.58,7.84,25.77,8,37.5,75,50,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,12.5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,"Excellent, now we need to gather some knowledge about the matter, just enough to make our sketch a reality. On Internet maybe?",22,92.84,98.8,2.4,94.75,11,18.18,77.27,50,9.09,9.09,0,9.09,0,0,0,0,9.09,18.18,0,18.18,0,0,9.09,0,0,0,0,4.55,4.55,4.55,0,0,0,0,13.64,0,0,0,0,22.73,4.55,4.55,4.55,9.09,0,0,0,0,0,0,0,0,0,0,0,18.18,13.64,4.55,0,0,0,0,13.64,0,9.09,0,4.55,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,18.18,4.55,9.09,0,0,4.55,0,0,0,0,0,0
HUMAN,are you talking about binding the interface to the source code?,11,98.22,99,1,25.77,11,27.27,72.73,54.55,9.09,9.09,0,0,9.09,0,0,0,18.18,18.18,9.09,9.09,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0
MACHINE,Do you know how to do that?,7,1,99,13.15,25.77,7,0,100,85.71,28.57,14.29,0,0,14.29,0,0,14.29,0,14.29,28.57,14.29,14.29,0,42.86,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,28.57,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0
HUMAN,the problem is that I don't know how to link a file '*.ui' to the source code without the program 'pyuic',21,86.96,2.86,37.24,1,21,14.29,80.95,57.14,9.52,4.76,4.76,0,0,0,0,4.76,19.05,14.29,9.52,4.76,4.76,9.52,14.29,0,0,4.76,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,28.57,9.52,9.52,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,4.76,0,14.29,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,33.33,4.76,0,0,0,0,0,0,0,23.81,0,4.76
MACHINE,Knowing the problem is half way to the solution! But is frustrating too ?,13,82,22.08,63.54,1,6.5,30.77,100,53.85,0,0,0,0,0,0,0,0,15.38,7.69,15.38,7.69,7.69,0,23.08,0,0,0,7.69,0,15.38,0,15.38,0,7.69,0,0,0,0,0,0,30.77,15.38,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,15.38,0,7.69,0,0,7.69,0,15.38,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,7.69,7.69,0,0,0,0,0
HUMAN,so you can't help me?,5,1,50,99,25.77,5,0,100,80,40,40,20,0,20,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,20,0,0,0,20,0,0
MACHINE,With emotional support! ?,3,99,50,1,25.77,3,66.67,100,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,33.33,0,0,0,0,66.67,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,33.33,33.33,0,0,0,0,0
HUMAN,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,what is your favorite python IDE?,6,1.8,99,1,99,6,16.67,66.67,50,33.33,16.67,0,0,16.67,0,0,16.67,0,0,16.67,0,0,0,16.67,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0
HUMAN,what is your favorite python IDE?,6,1.8,99,1,99,6,16.67,66.67,50,33.33,16.67,0,0,16.67,0,0,16.67,0,0,16.67,0,0,0,16.67,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0
MACHINE,"I like all kinds of python IDEs, what about you?",10,51.43,50,43.37,99,10,0,80,50,30,20,10,0,10,0,0,10,0,20,0,10,0,0,10,0,0,10,0,10,10,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,10,0,0,0,0,0,0
HUMAN,My favorite Python IDE is Spyder,6,17.96,4.8,23.51,99,6,16.67,50,33.33,16.67,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,0,16.67,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Spyder is a great Python IDE!,6,92.84,50,1,99,6,0,50,33.33,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,16.67,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0
MACHINE,Hi! How are you? How went your project?,8,1,99,7.84,25.77,2.67,12.5,100,62.5,25,25,0,0,25,0,0,0,0,0,12.5,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,37.5,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,12.5,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,25,12.5,0,0,0,0,0
HUMAN,[START],1,92.84,50,99,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
MACHINE,Hi!! How are you?,4,1,99,1,25.77,2,0,100,75,25,25,0,0,25,0,0,0,0,0,25,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,50,0,0,0,0,0
MACHINE,Hola!! ?,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,100,200,0,0,0,0,0
HUMAN,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,???? ????? ??! ?? ??????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,•À_C•À_mo est•À_s?,4,92.84,50,1,25.77,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
HUMAN,Bien,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Hola!!,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0
MACHINE,"La Licencia P•À_blica General de GNU o m•À_s conocida por su nombre en ingl•À_s GNU General Public License (o simplemente sus siglas del ingl•À_s GNU GPL) es la licencia de derecho de autor m•À_s ampliamente usada en el mundo del software libre y c•À_digo abierto,[6] y garantiza a los usuarios finales (personas, organizaciones, compa•À_•À_as) la libertad de usar, estudiar, compartir (copiar) y modificar el software.",73,94.08,55.44,1,51.4,73,28.77,12.33,2.74,0,0,0,0,0,0,0,0,1.37,1.37,0,0,1.37,0,0,5.48,2.74,0,1.37,0,1.37,1.37,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,2.74,0,0,0,19.18,1.37,6.85,0,0,0,0,0,0,0,8.22,2.74
MACHINE,"Me llamo rDany, pero puedes llamarme Dany",7,67.14,7.67,13.15,25.77,7,14.29,14.29,14.29,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0
MACHINE,"No soy ni hombre ni mujer. Sorprendente, •À_No?",8,37.39,1,1,25.77,4,12.5,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0
MACHINE,"De Argentina, hemisferio sur, planeta Tierra",6,92.84,50,1,25.77,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0
MACHINE,Buenas! Qu•À_ estuviste haciendo?,4,92.84,50,1,25.77,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,25,25,0,0,0,0,0
HUMAN,Jajaja,1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,:D a los humanos s•À_ que les interesa comer!,9,98.75,86.68,1,25.77,9,22.22,22.22,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,11.11,0,0,11.11,0,0,0,0,0
HUMAN,Buen d•À_a!,3,99,50,1,25.77,3,0,33.33,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0
MACHINE,•À_Buenos d•À_as! •À_Qu•À_ hay de nuevo bajo el sol?,10,92.84,50,1,25.77,5,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,10,0,0,0,0,0
HUMAN,battery,1,92.84,50,1,25.77,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Hola!! Tanto tiempo! ??,3,92.84,50,1,25.77,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.67,0,0,0,0,66.67,100,0,0,0,0,0
